facility_name,Final_Score,Relevance,tender_score,matched_name,match_score,registered_business_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
Visy Paper 2,0.54,High,2.20,visy paper,100.00,VISY PAPER PTY LTD,VIC,Reservoir,22 RADFORD RD,3073,1510,"Pulp, Paper and Paperboard Manufacturing",Paper recycling plant converting waste paper into new paper for use in the corrugated box industry.,63005803234.00,5803234.00,http://www.visy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004702
SORBENT PAPER COMPANY PTY LTD,0.54,High,2.20,sorbent paper,100.00,SORBENT PAPER COMPANY PTY LTD,VIC,Box Hill,19 AILSA ST,3128,1510,"Pulp, Paper and Paperboard Manufacturing",Manufacture of paper tissue products,62004191324.00,4191324.00,http://www.sorbent.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004010
Midfield Protein Solutions,0.54,High,2.49,midfield protein solutions,100.00,MIDFIELD PROTEIN SOLUTIONS PTY LTD,VIC,Warrnambool,24 SCOTT STREET,3280,1111,Meat Processing,Meat Processing,76619284883.00,619284883.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030841
Ecogen Jeeralang Power Station,0.53,High,2.20,exmouth power station,76.47,ENERGYAUSTRALIA ECOGEN PTY LTD,VIC,Morwell,50 BONDS LA,3840,2611,Fossil Fuel Electricity Generation,Power generation,86086589611.00,86589611.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004732
AUSTRALIAN TALLOW PRODUCERS PTY LTD,0.53,High,2.20,australian tallow producers,100.00,AUSTRALIAN TALLOW PRODUCERS PTY LTD,VIC,Brooklyn,680 GEELONG RD,3012,1111,Meat Processing,Rendering of animal by-products to produce tallow/oil and meat meals,28007046059.00,7046059.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00006827
Midfield Meat Group,0.53,High,2.20,midfield meat processing,81.25,MIDFIELD MEAT PROCESSING PTY LTD,VIC,Warrnambool,SCOTT ST,3280,1111,Meat Processing,Abattoir,15006971508.00,6971508.00,http://www.midfield.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00009122
Visy Board Wodonga,0.53,High,2.20,visy board wodonga,100.00,VISY BOARD (WODONGA) PTY LTD,VIC,Wodonga,299 MCKOY ST,3690,1521,Corrugated Paperboard and Paperboard Container Manufacturing,Corrugating and converting cardboard,34098839402.00,98839402.00,http://www.visy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00021303
G & K O'CONNOR PTY LTD,0.53,High,2.20,g and k o connor,100.00,G & K O'CONNOR PTY LTD,VIC,Pakenham,940 KOOWEERUP RD,3810,1111,Meat Processing,Meat processing,49005934029.00,5934029.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004115
Eureka Tiles Australia - Ballarat Manufacturing Facility,0.53,High,5.00,c3 australia,85.71,EUREKA TILES P/L,VIC,Ballarat,CNR STAWELL ST & CHARLESWORTH ST,3350,2029,Other Ceramic Product Manufacturing,Manufacture of ceramic floor tiles and glazed bricks,82074202592.00,74202592.00,http://www.eurekatiles.com.au,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2010/jurisdiction-facility/00004233
Iona Gas,0.53,High,2.20,lochard energy iona operations,66.67,LOCHARD ENERGY (IONA OPERATIONS) PTY LTD,VIC,Port Campbell,285 WAARRE RD,3269,700,Oil and Gas Extraction,Natural gas extraction,67608441729.00,608441729.00,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00026897
Valley Power,0.53,High,2.20,valley power,100.00,VALLEY POWER PTY LTD,VIC,Traralgon,VALLEY POWER GAS STATION BARTONS LA,3844,2611,Fossil Fuel Electricity Generation,Power generation,16083964470.00,83964470.00,https://www.snowyhydro.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00019800
LEADING SYNTHETICS PTY LTD,0.53,High,2.20,leading synthetics,100.00,LEADING SYNTHETICS PTY LTD,VIC,Campbellfield,2040 HUME HWY,3061,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Manufacture of synthetic resin,78061744849.00,61744849.00,http://www.leading.net.au,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2012/jurisdiction-facility/00004055
Qenos Resins,0.52,High,2.22,qenos,100.00,QENOS P/L,VIC,Altona,611 KOROROIT CREEK RD,3018,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Polyethylene and polypropylene production,62054196771.00,54196771.00,http://www.qenos.com.au,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00004089
Boral Quarry Bacchus Marsh,0.52,High,0.00,,58.82,BORAL RESOURCES (VIC) PTY LIMITED,VIC,Bacchus Marsh,BONNIE VALE RD,3340,911,Gravel and Sand Quarrying,Sand and Gravel Extraction with Processing (washing) Plant,87004620731.00,4620731.00,http://www.boral.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00010132
Midfield Co-Products,0.51,High,2.20,midfield products,100.00,MIDFIELD CO-PRODUCTS PTY LTD,VIC,Warrnambool,LEVYS PT,3280,1111,Meat Processing,Rendering Plant,58005186434.00,5186434.00,http://www.midfield.com.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2022/jurisdiction-facility/00004311
