registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
CA GROUP AUSTRALASIA PTY LTD,Consolidated Alloys,QLD,Salisbury,9 Chrome Street,4107,2110,Iron Smelting and Steel Manufacturing,Manufacture of sheet lead and lead weights,83005084097,005084097,http://www.cagroup.com.au,2007/2008,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2008/jurisdiction-facility/Q005CAG001
CABLE SANDS PTY LTD,Tutunup Operations,WA,Tutunup,Oates Road,6280,0990,Other Non-Metallic Mineral Mining and Quarrying,Mineral sands mining,49009137142,009137142,http://www.bemax.com.au,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2009/jurisdiction-facility/WA0695
CAIRNS REGIONAL COUNCIL,Killaloe Landfill,QLD,Killaloe,170 Killaloe Dump Road,4877,2921,Waste Treatment and Disposal Services,"Operational landfill - still receiving construction and demolition, asbestos and commercial and industrial waste.",24310025910,,https://www.cairns.qld.gov.au,2013/2014,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2014/jurisdiction-facility/Q058CAI002
CALLIDE POWER MANAGEMENT PTY LTD,Callide Power Plant,QLD,Biloela,Coal Rd,4715,2611,Fossil Fuel Electricity Generation,Combustion of fossil fuels to produce electricity,90082468700,082468700,http://www.csenergy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019CPM001
CALWRIGHT PACKAGING P/L,CALWRIGHT PACKAGING P/L,VIC,Rowville,25 LASER DR,3178,1611,Printing,Flexographic and gravure printing.,77006396292,006396292,,2001/2002,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2002/jurisdiction-facility/00004198
CAMPBELL BROTHERS LIMITED,Campbell Consumer Products Smithfield,NSW,Smithfield,277-303 Woodpark Road,2164,1821,Synthetic Resin and Synthetic Rubber Manufacturing,Manufacture of household cleaning products,92009657489,009657489,http://www.campbell.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2007/jurisdiction-facility/706
CANNON HILL INVESTMENTS P/L,Australian Country Choice,QLD,Cannon Hill,117 Colmslie Road,4170,1111,Meat Processing,"Meat processing, Rendering, Wastewater treatment ( minor) and fuel burning (black coal)",15079436187,079436187,http://www.accbeef.net.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q033CHI001
CANOBOLAS WOOL TOPMAKING PTY LTD,Canobolas Wool Topmaking Pty Ltd,NSW,Orange,390 Clergate Road,2800,1311,Wool Scouring,Woolscouring & topmaking. The greasy wool is washed in a conventional bowl system with hot water and detergent. The clean wool is processed into tops.,81001066477,001066477,,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2001/jurisdiction-facility/408
CAPE FLATTERY SILICA MINES PTY LTD,Cape Flattery Silica Mines,QLD,Cooktown,60 KM NE OF,4871,0990,Other Non-Metallic Mineral Mining and Quarrying,Silica sand mining and processing,66000586096,000586096,cfsm.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020CFS001
CARL ZEISS VISION AUST HOLDINGS LTD,Carl Zeiss Vision,SA,Lonsdale,SHERRIFS RD,5160,2411,"Photographic, Optical and Ophthalmic Equipment Manufacturing",OPHTHALMIC LENS DESIGN & MANUFACTURING,47007719708,007719708,http://www.vision.zeiss.com,2008/2009,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2009/jurisdiction-facility/SA0241
