registered_business_name,facility_name,state,suburb,street_address,postcode,primary_anzsic_class_code,primary_anzsic_class_name,main_activities,abn,acn,facility_website,latest_report_year,latest_report_url
SHIRE OF DARDANUP,Banksia Road Waste Disposal Facility,WA,Dardanup,Banksia Road,6236,2921,Waste Treatment and Disposal Services,"MUNICIPAL SOLID WASTE DISPOSAL FACILITY (CLASS II) - closed in 2006/2007 waste now going to private facility at Lot 2 Banksia Road, Dardanup run by South West Waste Landfill.",57305829653,,,2005/2006,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2006/jurisdiction-facility/WA0511
SHIRE OF DERBY/WEST KIMBERLEY,Derby Waste Management Facility,WA,Derby,Steel Street,6728,2921,Waste Treatment and Disposal Services,Landfill,99934203062,,http://www.sdwk.wa.gov.au/,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2021/jurisdiction-facility/WA1307
SHIRE OF DONNYBROOK-BALINGUP,Donnybrook Waste Management Facility,WA,Paynedale,State Forrest 27 Goodwood Road,6239,2921,Waste Treatment and Disposal Services,Putrescible Landfill Site,88470935824,,http://www.donnybrook-balingup.wa.gov.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2022/jurisdiction-facility/WA1291
SHIRE OF EAST PILBARA,"Windell Refuse Site, Newman",WA,Newman,Reserve 44274 Kalgan Drive,6753,2921,Waste Treatment and Disposal Services,Municipal Solid Waste Landfill,47854334350,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0310
SHIRE OF ESPERANCE,Wylie Bay Waste Management Facility,WA,Bandy Creek,Lot 5 Wylie Bay Rd,6450,2921,Waste Treatment and Disposal Services,Materials Recovery Centre and Landfill,60034434085,,http://www.esperance.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1301
SHIRE OF HARVEY,Richardson Road Landfill Site,WA,Harvey,Richardson Road,6220,2921,Waste Treatment and Disposal Services,Class 2 Landfill,97518812885,,,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2022/jurisdiction-facility/WA1304
SHIRE OF MANJIMUP,Manjimup Recycling and Refuse Centre,WA,Manjimup,62 Ralston Road,6258,2921,Waste Treatment and Disposal Services,Landfill,36453349691,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1306
SHIRE OF MERREDIN,Chandler Rd Landfill Site,WA,Merredin,"Lot 500, Chandler Road",6415,2921,Waste Treatment and Disposal Services,Landfill Site,87065676484,,http://www.merredin.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1295
SHIRE OF NARROGIN,Narrogin Waste Management Facility,WA,Narrogin,"Reserve 8410, White Road",6312,2921,Waste Treatment and Disposal Services,Landfill Site,46564581944,,http://www.narrogin.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1288
SHIRE OF NORTHAM,Old Quarry Road Landfill Facility,WA,Northam,Reserve No. 26840 Old Quarry Road,6401,2921,Waste Treatment and Disposal Services,Landfill and Waste Management Facility,42826617380,,http://www.northam.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1298
SHIRE OF PLANTAGENET,Mount Barker Waste Management Facility,WA,Mount Barker,"Reserve 23969, O'Neill Road",6324,2921,Waste Treatment and Disposal Services,Municipal Landfill Site,29084782574,,http://www.plantagenet.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1309
SHIRE OF WYNDHAM-EAST KIMBERLEY,Kununurra Waste Disposal Site,WA,Kununurra,Lot 2464 Victoria Highway,6743,2921,Waste Treatment and Disposal Services,Waste Disposal Site,35647145756,,http://www.swek.wa.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1296
SHOALHAVEN CITY COUNCIL,Bamarang Water Treatment Plant,NSW,Bamarang,Yalwal Road,2540,2811,Water Supply,Water treatment.,59855182344,,http://www.shoalwater.nsw.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/46
SHOALHAVEN COAL PTY LTD,Cullen Valley Mine,NSW,Cullen Bullen,Portland Road,2795,0600,Coal Mining,Coal mining,91070863893,,http://www.cetresources.com,2022/2023,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2023/jurisdiction-facility/1300
SHOWERAMA PRODUCTS PTY LTD,Showerama Pty Ltd,QLD,Narangba,600 Old Gympie,4504,2511,Wooden Furniture and Upholstered Seat Manufacturing,Bathroom Product Manufacturing,40009799848,009799848,http://www.showerama.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2016/jurisdiction-facility/Q030SHO001
SIBELCO AUSTRALIA LIMITED,Beechworth Quarry,VIC,Beechworth,FLAT ROCK RD,3747,0990,Other Non-Metallic Mineral Mining and Quarrying,Mining of granite and processing of feldspar and other tailings products,20000971844,000971844,http://www.sibelco.com.au,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00029415
SIBELCO LIME (VICTORIA) PTY LTD,Lilydale Lime Manufacturing Plant,VIC,Lilydale,CAVE HILL RD,3140,2031,Cement and Lime Manufacturing,Quarrying limestone and producing crushed limestone products. Calcining limestone to produce quicklime. Hydrating quicklime to produce hydrated lime.,78055274569,055274569,http://www.sibelco.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00004005
SIG COMBIBLOC AUSTRALIA PTY LTD,Beverage Packaging,VIC,Broadmeadows,1-7 RIGGALL ST,3047,1611,Printing,"Manufacture of fresh and long shelf-life cartons. Main processes include printing, coating and laminating, cutting, creasing and flame sealing.",47095321592,095321592,,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2021/jurisdiction-facility/00004064
SIGMA PHARMACEUTICALS P/L,SIGMA PHARMACEUTICALS P/L,VIC,Clayton,1408 CENTRE RD,3168,1841,Human Pharmaceutical and Medicinal Product Manufacturing,"Manufacture, filling, and packaging of liquid and cream pharmaceuticals, both sterile and non-sterile grade.",88004118594,004118594,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2007/jurisdiction-facility/00024801
SIMCOA OPERATIONS PTY LTD,Simcoa Operations Pty Ltd,WA,Wellesley,Lot 22 Marriott Rd,6233,2139,Other Basic Non-Ferrous Metal Manufacturing,Silicon production,42009064653,009064653,http://www.simcoa.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0358
SIMON PTY LTD,MORGAN H SIMON & COMPANY,QLD,Chinchilla,AUBURN RD,4413,1411,Log Sawmilling,Sawmilling,36009667725,009667725,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2007/jurisdiction-facility/Q039SMN001
SIMPLOT AUSTRALIA (PROPERTIES) PTY LIMITED,Top Cut Foods - Gilbertson Laverton,VIC,Laverton,20 GILBERTSON RD,3028,1111,Meat Processing,Meat processing,68070579485,070579485,http://www.simplot.com.au,2015/2016,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2016/jurisdiction-facility/00030633
SINGH SAMRA PTY LTD,Park Ridge Logan City Council,QLD,Park Ridge,77 Park Ridge Road,4125,0171,Poultry Farming (Meat),Meat Chicken Facility,58077869473,,,2009/2010,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2010/jurisdiction-facility/Q086ILB045
SINGH'S ENTERPRISES PTY LTD,Farm 1,QLD,Beaudesert,Markwell Creek Road,4285,0171,Poultry Farming (Meat),Meat Chicken Facility,40010768948,,,2017/2018,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2018/jurisdiction-facility/Q086ILB031
SINGLETON SHIRE COUNCIL,Singleton Council Waste Management Facility,NSW,Singleton,53 Dyrring Road ,2330,2911,Solid Waste Collection Services,Landfill,52877492396,,http://www.singleton.nsw.gov.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1513
SIVAD PTY LTD,Toorbull Farm,QLD,Toorbul,1147 Pumicetone Road,4510,0171,Poultry Farming (Meat),Meat Chicken Facility,44146933083,,,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2017/jurisdiction-facility/Q086ILB022
SLACKS HARDWOOD MILLING PTY LTD,Slack's Hardwood,QLD,Gayndah,26 Guyatts Road,4625,1411,Log Sawmilling,Sawmilling,73151619117,151619117,,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2017/jurisdiction-facility/Q039SAW002
SMITHFIELD POWER GENERATION PTY LTDON PTY LTD,Smithfield Power Generation,NSW,Smithfield,33 Herbert Place,2164,2611,Fossil Fuel Electricity Generation,Electricity generation using mineral gas including coal gas,45616835682,616835682,http://www.iberdrola.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/905
SNOWY HYDRO LIMITED,HEZ Power Station,NSW,Abermain,105 BROMAGE RD,2326,2611,Fossil Fuel Electricity Generation,Power generation,17090574431,090574431,https://www.snowyhydro.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/1190
SOJITZ GREGORY MINING PTY LTD,Gregory Crinium Mine,QLD,Emerald,GREGORY MINE LILYVALE RD,4720,0600,Coal Mining,Coal mining,31630511125,630511125,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BHP005
SOJITZ MDS MINING PTY LTD,Meteor Downs South Mine,QLD,Meteor Downs,Dawson highway,4702,0600,Coal Mining,Coal mining,94610971027,610971027,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020MEO001
SOJITZ MINERVA MINING PTY LTD,Minerva Mine,QLD,Springsure,593 Wurba Road,4722,0600,Coal Mining,Coal mining,35108510309,108510309,,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2022/jurisdiction-facility/Q020MIN001
SORBENT PAPER COMPANY PTY LTD,SORBENT PAPER COMPANY PTY LTD,VIC,Box Hill,19 AILSA ST,3128,1510,"Pulp, Paper and Paperboard Manufacturing",Manufacture of paper tissue products,62004191324,004191324,http://www.sorbent.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004010
SOUTH AUSTRALIAN WATER CORP,HINDMARSH VALLEY CHLORINATION STATION,SA,Hindmarsh Valley,RESERVOIR RD,5211,2811,Water Supply,Water Chlorination,69336525019,,http://www.sawater.com.au,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2007/jurisdiction-facility/SA0070
SOUTH AUSTRALIAN WATER CORPORATION,Anstey Hill Water Treatment Plant,SA,Vista,EXTN OF LOWER NORTH EAST RD,5091,2811,Water Supply,Water Filtration,69336525019,,http://www.sawater.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0077
SOUTH GIPPSLAND SHIRE COUNCIL,Foster Landfill,VIC,Foster,SOUTH GIPPSLAND HWY,3960,2921,Waste Treatment and Disposal Services,Waste disposal,67816770786,,,2002/2003,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2003/jurisdiction-facility/00007000
SOUTH32 WORSLEY ALUMINA PTY LTD,Worsley Refinery,WA,Collie,GASTALDO RD,6225,2131,Alumina Production,Aluminium Production,58008905155,008905155,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA0198
SOUTHERN CROSS FERTILISERS PTY LTD,Mount Isa,QLD,Mount Isa,OBAN RD,4825,1831,Fertiliser Manufacturing,Fishmeal fertiliser manufacturing,30004936850,004936850,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q027WMC002
SOUTHERN CROSS POULTRY FUND OPERATIONS PTY LTD,Murray Bridge Poultry,SA,Kepa,46 Jordan Lane,5259,0171,Poultry Farming (Meat),Poultry Farming (Broiler),,620466364,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0781
SOUTHERN DOWNS REGIONAL COUNCIL,Allora Landfill,QLD,Allora,Burges Road,4362,2921,Waste Treatment and Disposal Services,Municipal solid waste landfill,59786792651,,http://www.sdrc.qld.gov.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q058SOU003
SOUTHERN GRAMPIANS SHIRE COUNCIL,HAMILTON LANDFILL,VIC,Hamilton,CNR ELIJAH ST & DALE ST,3300,2921,Waste Treatment and Disposal Services,Landfill and resource recovery facility,55135536448,,http://www.sthgrampians.vic.gov.au,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2020/jurisdiction-facility/00006997
SOUTHERN MEATS PTY LTD,Southern Meats Goulburn Abattoir,NSW,Goulburn,Mazamet Road,2580,1111,Meat Processing,"Animal slaughter, rendering, livestock processing for export.",51003111528,003111528,http://www.southernmeats.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/894
SOUTHERN MIDLANDS COUNCIL,Oatlands Waste Disposal Site,TAS,Oatlands,RA 25 INGLEWOOD RD,7120,2921,Waste Treatment and Disposal Services,Municipal Waste Landfill site.,68653459589,,,2003/2004,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2004/jurisdiction-facility/TAS+371
SOUTHERN QUARRIES PTY. LTD.,Clinton Sandpit,SA,Clinton Centre,2931 Clinton Road,5570,0911,Gravel and Sand Quarrying,Quarrying activities,26007726909,007726909,https://www.southernquarries.com.au/,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2020/jurisdiction-facility/SA0732
SOUTHERN REGION WASTE RESOURCE AUTHORITY,Southern Region Waste Resource Authority,SA,Mclaren Vale,Wheaton Road,5171,2921,Waste Treatment and Disposal Services,Sanitary disposal service,37443975085,,srwra.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0571
SOUTHERN WASTE RESOURCECO PTY LTD,Southern Waste Resourceco,SA,Mclaren Vale,Tatachilla Road,5171,2921,Waste Treatment and Disposal Services,Waste Depot,46151241093,151241093,https://www.resourceco.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0456
SPRINGVALE COAL PTY LTD,Springvale Colliery,NSW,Lidsdale,Castlereagh Highway,2790,0600,Coal Mining,Underground coal mining using longwall methods and coal beneficiation - coal washery and reject emplacement.,39052096769,052096769,http://www.centennialcoal.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/712
ST OLIVE AND SONS PTY LTD,ST OLIVE & SONS PTY LTD,QLD,Dingo,Mount Flora Road,4702,1411,Log Sawmilling,Sawmilling,45009826957,,,2006/2007,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2007/jurisdiction-facility/Q039OLI001
STANBROKE BEEF AUSTRALIA,Valley Beef,QLD,Grantham,GRANTHAM SCRUB RD,4347,1111,Meat Processing,"Beef Slaughter, Beef Boning, Freezing and Storage and Rendering.",51109533535,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q033VBC001
STANMORE IP COAL PTY LTD,Isaac Downs Coal Mine,QLD,Moranbah,Peak Downs Highway,4744,0600,Coal Mining,Coal Mining,79606244615,606244615,https://www.stanmore.net.au,2021/2022,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2022/jurisdiction-facility/Q020ICM002
STANMORE SMC PTY LTD,South Walker Creek Mine Operations,QLD,Nebo,PEAK DOWNS HWY,4742,0600,Coal Mining,Coal Mining,34009713875,009713875,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020BHP006
STANWELL CORPORATION LIMITED,Mackay Gas Turbine,QLD,Mackay,8A HUME ST,4740,2611,Fossil Fuel Electricity Generation,Electricity generation using mineral gas including coal gas,37078848674,078848674,https://www.stanwell.com,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2021/jurisdiction-facility/Q019SCL002
STAPYLTON RESOURCE RECOVERY PTY LTD,Stapylton,QLD,Stapylton,144 ROSSMAN RD,4207,2921,Waste Treatment and Disposal Services,"Waste, solid, collection service",82611003724,611003724,https://www.bmigroup.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q056BOL003
STEELE & LINCOLN FOUNDRY (VIC) P/L,STEELE & LINCOLN FOUNDRY (VIC) P/L,VIC,Dandenong,318 HAMMOND RD,3175,2110,Iron Smelting and Steel Manufacturing,Steel and iron casting,85005086984,005086984,http://www.steelinc.com.au,2000/2001,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2001/jurisdiction-facility/00006761
STERICORP LIMITED,STERICORP,ACT,Canberra,"9 SANDFORD STREET, MITCHELL",2911,2921,Waste Treatment and Disposal Services,INCINERATION OF BIO-MEDICAL WASTE AND ELECTRO-THERMAL DEACTIVATION OF CLINICAL AND RELATED WASTE EXCLUDING CYTOTOXIC AND ANOTOMICAL WASTE,83060871249,060871249,http://www.stericorp.com.au,2004/2005,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/ACT/year/2005/jurisdiction-facility/ACT011
STOCKLEIGH POULTRY PTY LTD,Stockleigh Poultry,QLD,Stockleigh,885 Stockleigh Road,4280,0171,Poultry Farming (Meat),Chicken Farming,53651704139,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q086ILB002
STRATFORD COAL PTY LTD,Stratford Coal,NSW,Stratford,3364 Bucketts Way,2422,0600,Coal Mining,Brown coal mining,26064016164,064016164,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/514
STRIKE SOUTH WEST PTY LTD,Walyering Production Facility,WA,Cataby,Brand Highway,6507,0700,Oil and Gas Extraction,Gas production,,118251497,https://strikeenergy.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1743
STUART PETROLEUM COOPER BASIN GAS PTY LTD,Roma North Gas Field,QLD,43km Ne Roma,Mount Hope Road,4455,0700,Oil and Gas Extraction,Petroleum Production,20130588055,130588055,http://www.senexenergy.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q012SEN002
SUEZ MEDICAL SOLUTIONS PTY LTD,Suez Medical Solutions,WA,Welshpool,1 FELSPAR STREET,6106,2921,Waste Treatment and Disposal Services,Management of medical and related waste,54119885700,,https://www.veolia.com.au,2018/2019,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2019/jurisdiction-facility/WA0174
SUEZ RECYCLING & RECOVERY PTY LTD,Chullora Resource Recovery Park,NSW,Chullora,Chullora Recycling Park Muir Road,2190,2921,Waste Treatment and Disposal Services,"Waste storage, transfer, separating or processing. Hazardous, Industrial or Group A waste generation or storage.",70002902650,,http://www.suez.com.au,2019/2020,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2020/jurisdiction-facility/721
SUEZ WATER PTY LTD & VENTIA UTILITY SERVICES PTY LTD,Victorian Desalination Plant – WATERSURE,VIC,Wonthaggi,400 LOWER POWLETT RD ,3995,2811,Water Supply,Desalination plant,87254654139,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00030644
SUMMIT KWINANA POWER PTY LTD & ERM KWINANA POWER PTY LTD,Newgen Power Kwinana Partnership,WA,Naval Base,Lot 22 Leath Road,6165,2611,Fossil Fuel Electricity Generation,Electrical power generation,24808796430,,http://newgenpowerkwinana.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2024/jurisdiction-facility/WA1205
SUN PHARMACEUTICAL INDUSTRIES (AUSTRALIA) PTY LTD,Sun Pharma Controlled Substances Division,VIC,Port Fairy,199 PRINCES HWY,3284,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Extraction of bulk narcotic pharmaceuticals from poppies. Synthesis of narcotic derivatives.,64130119603,130119603,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00004374
SUNSET POWER INTERNATIONAL PTY LTD TRADING AS DELTA ELECTRICITY,Vales Point Power Station,NSW,Mannering Park,Off Vales Road,2259,2611,Fossil Fuel Electricity Generation,Electricity generation,75162696335,,https://www.deltapae.com.au/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/106
SUNSHINE COAST REGIONAL COUNCIL,Buderim Landfill Cell 1,QLD,Buderim,SYD LINGARD DR,4556,2921,Waste Treatment and Disposal Services,Landfill,37876973913,,http://www.sunshinecoast.qld.gov.au/,2011/2012,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2012/jurisdiction-facility/Q058MSC002
SUNSTATE CEMENT LTD,SUNSTATE CEMENT LTD,QLD,Wynnum,BULK TERMINALS DR FISHERMANS ISLAND,4178,2031,Cement and Lime Manufacturing,"Cement Grinding ie. the production of Portland and Blended Cements by the intergrinding of Portland cement clinker, blastfurnace slag, flyash, gypsum and limestone.",58010421879,010421879,http://www.sunstatecement.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q050SCE001
SUNSTATE SANDS BUNDABERG PTY LTD,Bundaberg Sand Mine,QLD,Coonarr,Palm Beach Road,4670,0990,Other Non-Metallic Mineral Mining and Quarrying,Mining and processing of silica sand,96062194405,062194405,http://www.sunstatesands.com.au,2020/2021,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2021/jurisdiction-facility/Q056SSB001
SUPERIOR WOOD PTY LTD,Melawondi Dry Mill (Mary Valley Operations),QLD,Imbil,217 Melawondi Road,4570,1413,Timber Resawing and Dressing,Value adding and kiln drying of sawn hoop pine,95154686772,154686772,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q039HYN006
SURF COAST SHIRE COUNCIL,Anglesea Landfill,VIC,Anglesea,COALMINE RD,3230,2921,Waste Treatment and Disposal Services,Landfill and transfer station,18078461409,,http://www.surfcoast.vic.gov.au,2014/2015,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2015/jurisdiction-facility/00006993
SUSTAINABLE ENERGY INFRASTRUCTURE PTY LTD,SEI Moranbah Power Station,QLD,Moranbah,LOT 54 GOONYELLA RD,4744,2611,Fossil Fuel Electricity Generation,Burning of coal seam methane to produce electricity,50746683694,,https://www.carbonlogica.com/,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q019ERG035
SUVO MINERALS AUSTRALIA PTY LTD,Pittong,VIC,Linton,PARISH OF ARGYLE C/A D4 & D5,3360,0990,Other Non-Metallic Mineral Mining and Quarrying,"Non-metallic mineral product manufacturing including mining, wet refining and drying of kaolin",51004584141,004584141,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00007639
SWAN REGIONAL SERVICES PTY LTD,Swan Regional Services,WA,Hazelmere,141 TALBOT RD,6055,1111,Meat Processing,Animal by-products manufacturing,,008779735,http://www.swanregionalservices.com.au,2010/2011,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/WA/year/2011/jurisdiction-facility/WA0671
SWICKERS KINGAROY BACON FACTORY PTY LTD,Swickers Kingaroy Bacon Factory,QLD,Kingaroy,206 KINGAROY BARKERS CREEK ROAD,4610,1111,Meat Processing,Pork killing and boning,35009678693,,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q033SWI001
SYDNEY WATER CORPORATION,Cascade Water Filtration Plant,NSW,Katoomba,off Mort Street,2780,2811,Water Supply,"Coagulation and flocculation, filtration (dual media), chlorination, fluoridation.",49776225038,,http://www.sydneywater.com.au,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/NSW/year/2024/jurisdiction-facility/676
SYNERGEN POWER PTY LIMITED,Dry Creek Gas Power Station,SA,Dry Creek,Rumble Road,5094,2611,Fossil Fuel Electricity Generation,Generation of electrical energy,66092560819,092560819,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/SA/year/2024/jurisdiction-facility/SA0061
SYNTECH HOLDINGS PTY LTD,Yancoal - Cameby Downs,QLD,Chinchilla,Ryalls Road,4413,0600,Coal Mining,Coal mining,21123782445,123782445,,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/QLD/year/2024/jurisdiction-facility/Q020SYN001
TA ANN TASMANIA,Huon Mill,TAS,Geeveston,Southwood Road,7116,1493,Veneer and Plywood Manufacturing,Rotary Veneer Mill,58115743345,115743345,,2016/2017,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/TAS/year/2017/jurisdiction-facility/TAS+446
TABRO MEAT PTY LTD,Tabro Meat,VIC,Lance Creek,2140 KORUMBURRA-WONTHAGGI RD,3995,1111,Meat Processing,Meat processing,85005517019,005517019,,2012/2013,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2013/jurisdiction-facility/00004390
TAGHLEEF INDUSTRIES PTY LTD,Taghleef Industries - Wodonga,VIC,Wodonga,11 MOLONEY DR,3690,1911,Polymer Film and Sheet Packaging Material Manufacturing,Manufacture of polypropylene film,51005893112,005893112,http://www.ti-films.com,2023/2024,http://www.npi.gov.au/npidata/action/load/individual-facility-detail/criteria/state/VIC/year/2024/jurisdiction-facility/00020295
