facility_name,Emission_Weighted_Score,name_clean,tender_score_exact,matched_name,match_score,tender_score,Emission_Scaled,Tender_Scaled,Final_Score,Relevance
LORIMER TIMBER PTY LTD,8.00,lorimer timber,0.00,gympie timber,66.67,2.20,0.12,0.44,0.22,Low
SHELTON TIMBER TREATMENT CO PTY LTD,8.00,shelton timber treatment,2.20,shelton timber treatment,100.00,2.20,0.12,0.44,0.22,Low
SIGMA PHARMACEUTICALS P/L,9.25,sigma pharmaceuticals p l,0.00,inova pharmaceuticals,83.33,2.08,0.14,0.42,0.22,Low
HYLAND HIGHWAY LANDFILL,19.72,hyland highway landfill,0.00,,59.26,0.00,0.30,0.00,0.21,Low
AUSTRALIAN BUILDING CERAMICS P/L,18.54,australian building ceramics p l,0.00,,64.52,0.00,0.28,0.00,0.20,Low
Hanson Harkaway Quarry,18.54,hanson harkaway quarry,0.00,,57.14,0.00,0.28,0.00,0.20,Low
Geelong Treated Timber,6.16,geelong treated timber,0.00,shelton timber treatment,78.26,2.20,0.09,0.44,0.20,Low
Beechworth Quarry,17.84,beechworth quarry,0.00,,60.61,0.00,0.27,0.00,0.19,Low
Pittong,17.84,pittong,0.00,,52.63,0.00,0.27,0.00,0.19,Low
Athena Gas Plant,18.20,athena gas plant,0.00,,53.33,0.00,0.27,0.00,0.19,Low
UNIDRIVE P/L,16.70,unidrive p l,0.00,,57.14,0.00,0.25,0.00,0.18,Low
SILTECH PTY LTD,17.30,siltech,0.00,,53.33,0.00,0.26,0.00,0.18,Low
Sun Pharma Controlled Substances Division,16.76,sun pharma controlled substances division,0.00,,54.55,0.00,0.25,0.00,0.18,Low
Top Cut Foods - Gilbertson Laverton,17.34,top cut foods gilbertson laverton,0.00,,62.50,0.00,0.26,0.00,0.18,Low
Siltech PMR,17.49,siltech pmr,0.00,,54.55,0.00,0.26,0.00,0.18,Low
Kenworth Trucks,17.26,kenworth trucks,0.00,,57.14,0.00,0.26,0.00,0.18,Low
Mulgrave Site,17.15,mulgrave site,0.00,,54.55,0.00,0.26,0.00,0.18,Low
GUILDTOWN PTY LTD,5.00,guildtown,2.20,guildtown,100.00,2.20,0.08,0.44,0.18,Low
BENDIGO,17.08,bendigo,0.00,,50.00,0.00,0.26,0.00,0.18,Low
Blackmores Braeside,16.76,blackmores braeside,0.00,,52.63,0.00,0.25,0.00,0.18,Low
Laverton North,17.16,laverton north,0.00,,57.89,0.00,0.26,0.00,0.18,Low
Australian Centre for Disease Preparedness,17.31,australian centre for disease preparedness,0.00,,64.52,0.00,0.26,0.00,0.18,Low
Dairy Farmers - Simpson,16.76,dairy farmers simpson,0.00,,55.81,0.00,0.25,0.00,0.18,Low
Forest St,16.88,forest st,0.00,,55.56,0.00,0.25,0.00,0.18,Low
