rank,registered_business_name,abn,anzsic_code,number_of_tenders,anzsic_score,tender_score,lead_score
627,AUSTRAL PLYWOODS PTY LTD,19726524324,1493,12,3,2.2,2.68
628,AUSTRALIAN FOOD GROUP PTY LT,48367956877,1111,12,3,2.2,2.68
629,AUSTRALIAN LAMB (COLAC) PTY LTD,56087919944,1111,15,3,2.2,2.68
630,AUSTRALIAN PLASTICS EXTRUSIONS PTY LTD,83062931015,1611,17,3,2.2,2.68
631,AUSTRALIAN SOFTWOOD QLD PTY LTD,18652795090,1413,18,3,2.2,2.68
632,AUSTRALIAN TALLOW PRODUCERS PTY LTD,28007046059,1111,15,3,2.2,2.68
633,AUSTRALIAN TOPMAKING SERVICES LIMITED,76004284164,1311,12,3,2.2,2.68
634,AUSTRALIAS BOUTIQUE BRICKMAKER PTY LTD,51667901733,2021,12,3,2.2,2.68
635,NATIONAL FOODS PTY LIMITED,65004486631,1131,43,3,2.21,2.68
636,BHP BILLITON DIRECT REDUCED IRON PTY LTD,50058025960,2110,14,3,2.2,2.68
637,BHP NICKEL WEST PTY LTD,76004184598,2139,12,3,2.2,2.68
638,BILLMAN'S FOUNDRY PTY LTD,67006847865,2121,14,3,2.2,2.68
639,BIRD BROS PTY LIMITED,81000062439,1111,13,3,2.2,2.68
640,BISALLOY STEELS PTY LTD,27001641292,2110,13,3,2.2,2.68
641,THE CRAFTSMAN PRESS P/L,53004125231,1611,13,3,2.2,2.68
642,BLUESCOPE STEEL (AIS) PTY LTD,19000019625,2110,12,3,2.2,2.68
643,BOC LIMITED,95000029729,1811,30,3,2.21,2.68
644,BORAL BRICKS PTY LTD,66082448342,2021,12,3,2.2,2.68
645,BRADKEN RESOURCES PTY LIMITED,82098300988,2121,61,3,2.2,2.68
646,BROWN WOOD PANELS PTY. LTD.,29007888566,1493,12,3,2.2,2.68
647,BROWNES FOODS OPERATIONS PTY LIMITED,60146849881,1131,19,3,2.2,2.68
648,BULLI TILE & BRICK PTY LTD,41000067578,2029,12,3,2.2,2.68
649,BULONG OPERATIONS PTY LTD,99008930881,2139,46,3,2.2,2.68
650,BURRA FOODS PTY LTD,58007119904,1131,13,3,2.2,2.68
651,CANOBOLAS WOOL TOPMAKING PTY LTD,81001066477,1311,12,3,2.2,2.68
652,CCL SECURE PTY LTD,13072353452,1611,87,3,2.21,2.68
653,CLAYPAVE PTY LTD,23490508923,2021,12,3,2.2,2.68
654,CMI INDUSTRIAL PTY LTD,32129401832,2121,66,3,2.21,2.68
655,COMGROUP SUPPLIES PTY LTD,20008732465,1111,16,3,2.2,2.68
656,COOL-OFF PTY LTD,79068308225,1111,16,3,2.2,2.68
657,COWRA ABATTOIR PTY LTD,99000662304,1111,12,3,2.2,2.68
658,CQMS CASTINGS PTY LTD,15104510876,2121,12,3,2.2,2.68
659,VIRIDIAN GLASS PTY LTD,68006904052,2010,12,3,2.2,2.68
660,CYPRESS SUPPLIES CABOOLTURE PTY LTD,68067684940,1411,16,3,2.2,2.68
661,DALE & MEYERS OPERATIONS PTY LTD,12072594584,1411,25,3,2.2,2.68
662,DEMATIC PTY LTD,43118204425,2221,14,3,2.2,2.68
663,DETMARK PTY LTD,66009053847,1611,24,3,2.2,2.68
664,DIAMOND VALLEY PORK PTY LTD,17095045695,1111,13,3,2.2,2.68
665,DULACCA SAWMILLS PTY LTD,15010052267,1411,12,3,2.2,2.68
666,E.P. ROBINSON PTY. LIMITED,44004942572,1311,12,3,2.2,2.68
667,EIDSVOLD SLEEPER MILL AND LANDSCAPING TIMBERS PTY. LTD.,41051202889,1411,16,3,2.2,2.68
668,ENCORE TISSUE (AUST) PTY LTD,99104582523,1510,22,3,2.2,2.68
669,ENOPLASTIC AUS PTY LTD,44168053914,1611,24,3,2.21,2.68
670,FAIRFAX MEDIA LIMITED,15008663161,1611,28,3,2.2,2.68
671,FELTON GRIMWADE & BOSISTO'S PTY LTD,13004809161,1841,14,3,2.2,2.68
672,FOAMCO INDUSTRIES PTY LIMITED,34003666340,1821,43,3,2.2,2.68
673,FOUNDRIES PTY LTD,35009686793,2110,12,3,2.2,2.68
674,FPS INTERNATIONAL (AUST) P/L,84080857647,1611,25,3,2.2,2.68
675,FREW (KYNETON) PTY LTD,25006627729,1111,12,3,2.2,2.68
676,G & K O'CONNOR PTY LTD,49005934029,1111,28,3,2.2,2.68
677,GELPACK ENTERPRISES PTY LTD,35069417312,1611,40,3,2.2,2.68
